cod_reg;nom_reg;cod_pro;nom_pro;cod_com;nom_com;cod_deprov;nom_deprov;prom_lect4b_com;prom_mate4b_com;dif_lect4b_com;dif_mate4b_com;sigdif_lect4b_com;sigdif_mate4b_com;fecha_bbdd;codigo_bbdd;grado;agno
10;Región de Los Lagos;102;Chiloé;10204;Curaco de Vélez;102;Chiloe;277;265;13;23;0;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;102;Chiloé;10205;Dalcahue;102;Chiloe;262;255;-5;5;0;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;102;Chiloé;10206;Puqueldón;102;Chiloe;266;250;17;12;1;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;102;Chiloé;10207;Queilén;102;Chiloe;266;239;14;7;1;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;102;Chiloé;10208;Quellón;102;Chiloe;259;239;8;6;1;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;102;Chiloé;10209;Quemchi;102;Chiloe;266;256;1;5;0;0;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;101;Llanquihue;10107;Llanquihue;101;Llanquihue;274;251;22;15;1;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;101;Llanquihue;10108;Maullín;101;Llanquihue;270;260;17;20;1;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;101;Llanquihue;10109;Puerto Varas;101;Llanquihue;282;270;5;12;0;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;102;Chiloé;10201;Castro;102;Chiloe;270;256;4;9;0;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;102;Chiloé;10202;Ancud;102;Chiloe;275;262;9;16;1;1;20240418;final20240418v1;4b;2023
10;Región de Los Lagos;102;Chiloé;10203;Chonchi;102;Chiloe;266;245;-4;3;0;0;20240418;final20240418v1;4b;2023
11;Región de Aysén del General Carlos Ibañez del Campo;111;Coyhaique;11101;Coyhaique;111;Coyhaique;266;251;0;2;0;0;20240418;final20240418v1;4b;2023
11;Región de Aysén del General Carlos Ibañez del Campo;111;Coyhaique;11102;Lago Verde;111;Coyhaique;243;210;0;0;0;0;20240418;final20240418v1;4b;2023
11;Región de Aysén del General Carlos Ibañez del Campo;112;Aysén;11201;Aysén;111;Coyhaique;268;253;-7;-3;0;0;20240418;final20240418v1;4b;2023
11;Región de Aysén del General Carlos Ibañez del Campo;112;Aysén;11202;Cisnes;111;Coyhaique;251;240;-3;6;0;0;20240418;final20240418v1;4b;2023
11;Región de Aysén del General Carlos Ibañez del Campo;112;Aysén;11203;Guaitecas;111;Coyhaique;288;251;40;5;1;0;20240418;final20240418v1;4b;2023
11;Región de Aysén del General Carlos Ibañez del Campo;113;Capitán Prat;11301;Cochrane;111;Coyhaique;271;264;1;17;0;1;20240418;final20240418v1;4b;2023
11;Región de Aysén del General Carlos Ibañez del Campo;113;Capitán Prat;11302;O'higgins;111;Coyhaique;285;275;49;45;1;1;20240418;final20240418v1;4b;2023
11;Región de Aysén del General Carlos Ibañez del Campo;113;Capitán Prat;11303;Tortel;111;Coyhaique;288;283;5;60;0;1;20240418;final20240418v1;4b;2023
11;Región de Aysén del General Carlos Ibañez del Campo;114;General Carrera;11401;Chile Chico;111;Coyhaique;273;258;6;1;0;0;20240418;final20240418v1;4b;2023
11;Región de Aysén del General Carlos Ibañez del Campo;114;General Carrera;11402;Río Ibáñez;111;Coyhaique;256;238;21;-1;1;0;20240418;final20240418v1;4b;2023
12;Región de Magallanes y de la Antártica Chilena;121;Magallanes;12101;Punta Arenas;121;Magallanes;272;260;1;5;0;0;20240418;final20240418v1;4b;2023
12;Región de Magallanes y de la Antártica Chilena;121;Magallanes;12102;Laguna Blanca;121;Magallanes;248;252;0;0;0;0;20240418;final20240418v1;4b;2023
12;Región de Magallanes y de la Antártica Chilena;121;Magallanes;12103;Río Verde;121;Magallanes;;;;;;;20240418;final20240418v1;4b;2023
