rbd;dvrbd;nom_rbd;cod_reg_rbd;nom_reg_rbd;cod_pro_rbd;nom_pro_rbd;cod_com_rbd;nom_com_rbd;cod_deprov_rbd;nom_deprov_rbd;cod_depe1;cod_depe2;cod_grupo;cod_rural_rbd;nalu_lect4b_rbd;nalu_mate4b_rbd;prom_lect4b_rbd;prom_mate4b_rbd;dif_lect4b_rbd;dif_mate4b_rbd;difgru_lect4b_rbd;difgru_mate4b_rbd;sigdif_lect4b_rbd;sigdif_mate4b_rbd;siggru_lect4b_rbd;siggru_mate4b_rbd;marca_lect4b_rbd;marca_mate4b_rbd;marcadif_lect4b_rbd;marcadif_mate4b_rbd;palu_eda_ins_lect4b_rbd;palu_eda_ele_lect4b_rbd;palu_eda_ade_lect4b_rbd;palu_eda_ins_mate4b_rbd;palu_eda_ele_mate4b_rbd;palu_eda_ade_mate4b_rbd;noaplica;fecha_bbdd;codigo_bbdd;grado;agno
1855;4;ESCUELA BASICA REPUBLICA DE FRANCIA;5;DE VALPARAÍSO;51;VALPARAÍSO;5107;QUINTERO;53;Valparaiso - Isla de Pascua;2;1;2;1;53;55;237;222;-7;-3;-23;-25;0;0;-1;-1;;;;;54.7;17.0;28.3;72.7;21.8;5.5;0;20240418;final20240418v1;4b;2023
31499;4;COLEGIO THE SOUTHLAND;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13115;LO BARNECHEA;133;Oriente;4;3;5;1;17;17;295;304;-2;11;-7;12;0;0;0;1;;;;;5.9;29.4;64.7;11.8;29.4;58.8;0;20240418;final20240418v1;4b;2023
4904;2;ESCUELA BASICA RANGUEL;8;DEL BIOBÍO;81;CONCEPCIÓN;8105;HUALQUI;83;Concepcion;6;4;1;2;1;1;;;;;;;;;;;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
859;1;ESCUELA REBECA MATTE DE INIGUEZ;4;DE COQUIMBO;43;LIMARÍ;4302;COMBARBALÁ;42;Limari;2;1;1;2;1;1;;;;;;;;;;;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
8888;9;COLEGIO DEL VERBO DIVINO;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13114;LAS CONDES;133;Oriente;4;3;5;1;138;140;306;318;10;7;4;26;1;0;0;1;;;;;9.4;25.4;65.2;1.4;24.3;74.3;0;20240418;final20240418v1;4b;2023
9859;0;COLEGIO PARTICULAR VILLA JESUS;13;METROPOLITANA DE SANTIAGO;131;SANTIAGO;13109;LA CISTERNA;132;Sur;3;2;3;1;77;78;264;256;-12;-8;-6;0;-1;0;-1;0;;;;;31.2;35.1;33.8;37.2;42.3;20.5;0;20240418;final20240418v1;4b;2023
22608;4;COLEGIO EL LABRADOR;10;DE LOS LAGOS;103;OSORNO;10301;OSORNO;103;Osorno;3;2;1;1;10;10;261;246;6;28;10;9;0;1;0;0;;;;;30.0;40.0;30.0;60.0;30.0;10.0;0;20240418;final20240418v1;4b;2023
2379;5;ESCUELA BASICA ANTONIO DE ZUNIGA;6;DEL LIBERTADOR BERNARDO OHIGGINS;61;CACHAPOAL;6112;PEUMO;61;Cachapoal;2;1;2;1;39;39;250;229;7;2;-10;-18;0;0;-1;-1;;;;;43.6;30.8;25.6;59.0;30.8;10.3;0;20240418;final20240418v1;4b;2023
3375;8;ESCUELA CARLOS CONDELL;7;DEL MAULE;74;LINARES;7403;LONGAVÍ;73;Linares;2;1;1;2;1;1;;;;;;;;;;;1;1;1;1;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
8284;8;ESCUELA RURAL COINCO;10;DE LOS LAGOS;102;CHILOÉ;10208;QUELLÓN;102;Chiloe;1;1;1;2;4;5;280;265;;;;;;;;;;;2;2;0.0;0.0;0.0;0.0;0.0;0.0;0;20240418;final20240418v1;4b;2023
