agno|grado|rbd|dvrbd|nom_rbd|cod_reg_rbd|nom_reg_rbd|cod_pro_rbd|nom_pro_rbd|cod_com_rbd|nom_com_rbd|cod_deprov_rbd|nom_deprov_rbd|cod_depe1|cod_depe2|cod_grupo|cod_rural_rbd|nalu_lect4b_rbd|nalu_mate4b_rbd|prom_lect4b_rbd|prom_mate4b_rbd|dif_lect4b_rbd|dif_mate4b_rbd|difgru_lect4b_rbd|difgru_mate4b_rbd|sigdif_lect4b_rbd|sigdif_mate4b_rbd|siggru_lect4b_rbd|siggru_mate4b_rbd|marca_lect4b_rbd|marca_mate4b_rbd|marcadif_lect4b_rbd|marcadif_mate4b_rbd|palu_eda_ins_lect4b_rbd|palu_eda_ele_lect4b_rbd|palu_eda_ade_lect4b_rbd|palu_eda_ins_mate4b_rbd|palu_eda_ele_mate4b_rbd|palu_eda_ade_mate4b_rbd|noaplica|fecha_bbdd|codigo_bbdd
2022|4b|5855|6|ESC. BASICA MUCO CHUREO|9|DE LA ARAUCANÍA|91|CAUTÍN|9108|LAUTARO|92|Cautin Norte|2|1|1|2|4|4|251|229|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|3934|9|ESCUELA SAN ISIDRO|16|DE ÑUBLE|161|DIGUILLÍN|16104|EL CARMEN|161|Diguillín|2|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0|20231017|final20231017v2
2022|4b|10183|4|ESCUELA PARTICULAR CARLOS PEZOA VELIZ|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13103|CERRO NAVIA|134|Poniente|3|2|1|1|16|15|260|232|0|-12|15|4|0|0|1|0|||||31.3|31.3|37.5|66.7|26.7|6.7|0|20231017|final20231017v2
2022|4b|14511|4|COLEGIO SANTA BARBARA DE LA REINA|5|DE VALPARAÍSO|51|VALPARAÍSO|5102|CASABLANCA|53|Valparaiso - Isla de Pascua|3|2|2|1|26|26|269|280|-19|-7|14|42|-1|0|1|1|||||34.6|23.1|42.3|30.8|26.9|42.3|0|20231017|final20231017v2
2022|4b|2268|3|ESCUELA MUNICIPAL SANTA AMALIA|6|DEL LIBERTADOR BERNARDO O|61|CACHAPOAL|6116|REQUÍNOA|61|Cachapoal|2|1|2|2|2|2|279|231|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|6988|4|ESCUELA RURAL LONCOPAN BAJO|14|DE LOS RÍOS|142|DEL RANCO|14202|FUTRONO|142|Ranco|2|1|1|2|1|1|0|0|0|0|0|0|0|0|0|0|1|1|1|1|||||||0|20231017|final20231017v2
2022|4b|25480|0|COLEGIO JOSE LUIS LEGRANGE DE LA CISTERNA|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13109|LA CISTERNA|132|Sur|3|2|4|1|25|29|289|272|16|25|9|9|1|1|1|1|||||20|28|52|20.7|62.1|17.2|0|20231017|final20231017v2
2022|4b|496|0|ESCUELA DE CHOLLAY|3|DE ATACAMA|33|HUASCO|3302|ALTO DEL CARM|32|Huasco - Vallenar|6|4|1|2|2|2|321|250|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|6490|4|ESCUELA PARTICULAR MANUEL ROJAS|9|DE LA ARAUCANÍA|91|CAUTÍN|9116|SAAVEDRA|92|Cautin Norte|3|2|1|2|2|1|228|0|0|0|0|0|0|0|0|0||1|1|1|||||||0|20231017|final20231017v2
2022|4b|10818|9|ESCUELA HUECHUN|13|METROPOLITANA DE SANTIAGO|135|MELIPILLA|13501|MELIPILLA|135|Talagante|1|1|2|2|17|17|251|225|7|-20|-4|-13|0|-1|0|-1|||||35.3|35.3|29.4|64.7|29.4|5.9|0|20231017|final20231017v2
2022|4b|14605|6|COLEGIO VILLA ACONCAGUA|5|DE VALPARAÍSO|51|VALPARAÍSO|5103|CONCÓN|53|Valparaiso - Isla de Pascua|3|2|3|1|65|64|268|267|-23|-31|1|18|-1|-1|0|1|||||32.3|27.7|40|28.1|42.2|29.7|0|20231017|final20231017v2
2022|4b|2660|3|ESCUELA FRANCISCO CHAVEZ CIFUENTES|6|DEL LIBERTADOR BERNARDO O|62|CARDENAL CA|6205|NAVIDAD|63|Cardenal Caro|2|1|3|1|21|21|291|258|44|23|24|9|1|1|1|1|||||9.5|19|71.4|33.3|61.9|4.8|0|20231017|final20231017v2
2022|4b|2162|8|COLEGIO PARTICULAR ADVENTISTA|6|DEL LIBERTADOR BERNARDO O|61|CACHAPOAL|6101|RANCAGUA|61|Cachapoal|3|2|3|1|34|36|253|229|0|-14|-14|-20|0|0|-1|-1|||||38.2|38.2|23.5|58.3|33.3|8.3|0|20231017|final20231017v2
2022|4b|5314|7|ESCUELA CHIGUAIHUE|9|DE LA ARAUCANÍA|92|MALLECO|9202|COLLIPULLI|91|Malleco|2|1|1|2|5|5|265|249|0|0|0|0|0|0|0|0|||1|1|||||||0|20231017|final20231017v2
2022|4b|24790|1|COLEGIO EL PRADO|13|METROPOLITANA DE SANTIAGO|131|SANTIAGO|13124|PUDAHUEL|134|Poniente|3|2|3|1|31|31|251|237|2|6|-16|-12|0|0|-1|-1|||||48.4|22.6|29|61.3|32.3|6.5|0|20231017|final20231017v2
