agno	grado	rbd	dvrbd	nom_rbd	cod_reg_rbd	nom_reg_rbd	cod_pro_rbd	nom_pro_rbd	cod_com_rbd	nom_com_rbd	cod_deprov_rbd	nom_deprov_rbd	cod_depe1	cod_depe2	cod_grupo	cod_rural_rbd	nalu_lect4b_rbd	nalu_mate4b_rbd	prom_lect4b_rbd	prom_mate4b_rbd	dif_lect4b_rbd	dif_mate4b_rbd	difgru_lect4b_rbd	difgru_mate4b_rbd	sigdif_lect4b_rbd	sigdif_mate4b_rbd	siggru_lect4b_rbd	siggru_mate4b_rbd	marca_lect4b_rbd	marca_mate4b_rbd	marcadif_lect4b_rbd	marcadif_mate4b_rbd	palu_eda_ins_lect4b_rbd	palu_eda_ele_lect4b_rbd	palu_eda_ade_lect4b_rbd	palu_eda_ins_mate4b_rbd	palu_eda_ele_mate4b_rbd	palu_eda_ade_mate4b_rbd	noaplica	fecha_bbdd	codigo_bbdd
2018	4b	22658	0	CENTRO EDUCACIONAL EMANUEL	10	Región de Los Lagos	102	CHILO	10208	Quell	102	CHILO	3	2	1	1	21	20	270	246	-6	-36	19	9	0	-1	1	1					23.8	23.8	52.4	40	60	0	0	20190628	final20190628v1
2018	4b	22663	7	COLEGIO MONTE VERDE	10	Región de Los Lagos	102	CHILO	10201	Castr	102	CHILO	3	2	4	1	19	19	278	244	-7	-9	-8	-30	0	0	0	-1					21.1	21.1	57.9	57.9	36.8	5.3	0	20190628	final20190628v1
2018	4b	22668	8	CENTRO EDUCACIONAL AMADOR CARDENAS PARE	10	Región de Los Lagos	102	CHILO	10210	Quinc	102	CHILO	3	2	1	1	5	6	267	235	0	0	0	-2	0	0	0	0			1	1							0	20190628	final20190628v1
2018	4b	22671	8	COLEGIO FRANCISCO HERNANDEZ ORTIZ	10	Región de Los Lagos	101	LLANQ	10102	Calbu	101	LLANQ	3	2	2	2	10	10	253	218	10	-4	-6	-30	0	0	0	-1					40	20	40	60	30	10	0	20190628	final20190628v1
2018	4b	22672	6	COLEGIO ALTAS CUMBRES	10	Región de Los Lagos	101	LLANQ	10109	Puert	101	LLANQ	3	2	3	1	37	37	260	256	8	6	-12	-5	0	0	-1	0					32.4	24.3	43.2	24.3	62.2	13.5	0	20190628	final20190628v1
2018	4b	22685	8	ESCUELA PARTICULAR SAN BENITO	10	Región de Los Lagos	103	OSORN	10307	San P	103	OSORN	3	2	1	2	9	9	248	227	1	17	-3	-10	0	0	0	0											0	20190628	final20190628v1
2018	4b	22686	6	ESCUELA BASICA LAS CAMELIAS	10	Región de Los Lagos	101	LLANQ	10101	Puert	101	LLANQ	2	1	1	1	40	40	272	246	19	-9	21	9	1	0	1	1					37.5	5	57.5	42.5	42.5	15	0	20190628	final20190628v1
2018	4b	22688	2	COLEGIO BOSQUES DE ALERCE	10	Región de Los Lagos	101	LLANQ	10101	Puert	101	LLANQ	3	2	2	2	79	84	274	269	-15	-8	15	21	-1	0	1	1					24.1	34.2	41.8	21.4	53.6	25	0	20190628	final20190628v1
2018	4b	22690	4	COLEGIO AYTUE	10	Región de Los Lagos	102	CHILO	10202	Ancud	102	CHILO	3	2	2	2	2	2	278	291	0	0	0	0	0	0	0	0			1	1							0	20190628	final20190628v1
2018	4b	22692	0	PATAGONIA COLLEGE	10	Región de Los Lagos	101	LLANQ	10101	Puert	101	LLANQ	3	2	5	1	55	54	295	288	-1	6	-8	-9	0	0	-1	-1					12.7	29.1	58.2	9.3	55.6	35.2	0	20190628	final20190628v1
2018	4b	22702	1	INSTITUTO TECNICO ALERCE CORDILLERA	10	Región de Los Lagos	101	LLANQ	10101	Puert	101	LLANQ	3	2	3	1	39	39	268	244	3	16	-4	-17	0	1	0	-1					30.8	28.2	41	51.3	35.9	12.8	0	20190628	final20190628v1
2018	4b	22707	2	COLEGIO GILGAL	10	Región de Los Lagos	103	OSORN	10301	Osorn	103	OSORN	3	2	2	1	24	22	246	232	23	-2	-13	-16	0	0	-1	-1					54.2	25	20.8	54.5	40.9	4.5	0	20190628	final20190628v1
2018	4b	22738	8	COLEGIO SAN LUCAS DE VALDIVIA	14	Región de Los Ríos	141	VALDI	14101	Valdi	141	VALDI	3	2	3	1	8	8	223	254	0	0	-49	-7	0	0	-1	0			1	1							0	20190628	final20190628v1
2018	4b	22743	9	GARDEN COLLEGE	14	Región de Los Ríos	142	DEL R	14201	La Un	142	RANCO	3	2	3	1	26	26	290	259	-2	-4	18	-2	0	0	1	0					11.5	30.8	57.7	38.5	46.2	15.4	0	20190628	final20190628v1
2018	4b	22747	1	CENTRO EDUCATIVO SAGRADO CORAZON DE JES	14	Región de Los Ríos	141	VALDI	14106	Mariq	141	VALDI	3	2	3	1	24	23	289	271	23	17	17	10	1	1	1	1					25	29.2	45.8	26.1	47.8	26.1	0	20190628	final20190628v1
2018	4b	22749	8	ESCUELA PARTICULAR COUNTRY SCHOOL	14	Región de Los Ríos	141	VALDI	14107	Paill	141	VALDI	3	2	1	2	9	9	294	267	2	8	43	30	0	0	1	1											0	20190628	final20190628v1
